ConceptID,ConceptLabel,Dependencies,TaxonomyID
122,Trunk-Based Development,120|123,PRACT
123,GitFlow,120,PRACT
124,Deployment Frequency,121|148,METR
125,Blue-Green Deployment,121,PRACT
126,Canary Deployment,121|60,PRACT
127,Rollback Capabilities,121,PRACT
128,Site Reliability Engineering,3|129,OPS
129,SRE Principles,3,OPS
130,Service Level Objectives,128|131,OPS
131,Service Level Indicators,128,OPS
132,Service Level Agreements,130,OPS
133,Error Budgets,130|134,OPS
134,Reliability vs Velocity,128,OPS
135,On-Call Practices,128|136,OPS
136,Sustainable Rotations,128,OPS
137,Runbooks,135,OPS
138,Post-Incident Reviews,141|139,OPS
139,Blameless Postmortems,141|140,OPS
140,Learning from Failures,141,OPS
141,Incident Management,128|142,OPS
142,Severity Classification,141,OPS
143,Escalation Procedures,141|142,OPS
144,Outage Communication,141,OPS
145,Cross-Team Coordination,141|73,OPS
146,Game Days,118|141,OPS
147,Incident Response,141|143,OPS
148,DORA Metrics,121|149|150|151,METR
149,Lead Time for Changes,121,METR
150,Mean Time to Recovery,141,METR
151,Change Failure Rate,121,METR
152,SPACE Framework,153|154|155|156|157,METR
153,Developer Satisfaction,48,METR
154,Developer Performance,48,METR
155,Developer Activity,48,METR
156,Team Communication,79,METR
157,Flow Efficiency,158,METR
158,Cycle Time,121,METR
159,Engineering Metrics,148|152,METR
160,Vanity Metrics,159,METR
161,Business Outcomes,5|159,METR
162,Engineering Culture,2|4|163,CPAT
163,Innovation Mindset,162|164,CPAT
164,Experimentation Culture,163,CPAT
165,Ownership Culture,162|166,CPAT
166,Build Run Own,165,CPAT
167,Craftsmanship,162|168,CPAT
168,Technical Excellence,3|167,CPAT
169,Knowledge Sharing,162|170,CPAT
170,Cross-Team Collaboration,73|169,CPAT
171,Customer Focus,162|161,CPAT
172,Cultural Anti-Patterns,162|173|174|175|176|177,CPAT
173,Blame Culture,172,CPAT
174,Hero Culture,172,CPAT
175,Meeting Culture,172,CPAT
176,Feature Factory,172,CPAT
177,Not Invented Here,172,CPAT
178,Team Health Checks,79|179,CPAT
179,Retrospectives,79,CPAT
180,Burnout Prevention,4|181,CPAT
181,Developer Wellbeing,48|180,CPAT
182,Hack Weeks,163|183,CPAT
183,Innovation Time,163,CPAT
184,Technology Strategy,5|185,STRAT
185,Build vs Buy,184,STRAT
186,Technical Due Diligence,184,STRAT
187,Strategic Tech Debt,107|184,STRAT
188,Stakeholder Management,4|189,STRAT
189,Executive Communication,188,STRAT
190,Managing Up,188,STRAT
191,Resource Negotiation,188,STRAT
192,Conway's Law,2|73|193,ORG
193,Organizational Design,2,ORG
194,Team Scaling,73|193,ORG
195,Specialization Balance,193,ORG
196,AI Agents,25,EMERG
197,Quantum Computing,6,EMERG
198,Web3 Technologies,6,EMERG
199,Continuous Learning,1|200,EMERG
200,T-Shaped Engineers,199,EMERG
